pathway	pathway_rn	pathway_label	model_id	organism	status	model_reactions	model_metabolites	kegg_reactions	kgml_reactions_omitted	matched_reactions	unmatched_reactions	reaction_retention_percent	matched_metabolites	unmatched_metabolites	metabolite_retention_percent	map_json	summary_json
map00680	rn00680	Methane metabolism / C1 metabolism	iEC1356_Bl21DE3	Escherichia coli BL21(DE3)	built	2740	1918	104	R08323, R08328, R10397	31	73	29.81	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1356_Bl21DE3\iEC1356_Bl21DE3_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1356_Bl21DE3\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1364_W	Escherichia coli W	built	2764	1927	56		41	15	73.21	22	9	70.97	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1364_W\iEC1364_W_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1364_W\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1364_W	Escherichia coli W	built	2764	1927	29		22	7	75.86	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1364_W\iEC1364_W_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1364_W\summary.json
map00030	rn00030	Pentose phosphate pathway	iEC1364_W	Escherichia coli W	built	2764	1927	58	R06837	34	24	58.62	27	10	72.97	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1364_W\iEC1364_W_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1364_W\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEC1364_W	Escherichia coli W	built	2764	1927	104	R08323, R08328, R10397	31	73	29.81	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1364_W\iEC1364_W_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1364_W\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1368_DH5a	Escherichia coli DH5[alpha]	built	2779	1951	56		41	15	73.21	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1368_DH5a\iEC1368_DH5a_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1368_DH5a\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1368_DH5a	Escherichia coli DH5[alpha]	built	2779	1951	29		22	7	75.86	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1368_DH5a\iEC1368_DH5a_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1368_DH5a\summary.json
map00030	rn00030	Pentose phosphate pathway	iEC1368_DH5a	Escherichia coli DH5[alpha]	built	2779	1951	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1368_DH5a\iEC1368_DH5a_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1368_DH5a\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEC1368_DH5a	Escherichia coli DH5[alpha]	built	2779	1951	104	R08323, R08328, R10397	31	73	29.81	37	49	43.02	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1368_DH5a\iEC1368_DH5a_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1368_DH5a\summary.json
map00010	rn00010	Glycolysis / gluconeogenesis	iEC1372_W3110	Escherichia coli str. K-12 substr. W3110	built	2758	1918	56		40	16	71.43	21	10	67.74	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1372_W3110\iEC1372_W3110_map00010_map.json	outputs\bigg_prokaryote_bioemma\maps\map00010\iEC1372_W3110\summary.json
map00020	rn00020	Citrate cycle (TCA cycle)	iEC1372_W3110	Escherichia coli str. K-12 substr. W3110	built	2758	1918	29		22	7	75.86	13	7	65.0	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1372_W3110\iEC1372_W3110_map00020_map.json	outputs\bigg_prokaryote_bioemma\maps\map00020\iEC1372_W3110\summary.json
map00030	rn00030	Pentose phosphate pathway	iEC1372_W3110	Escherichia coli str. K-12 substr. W3110	built	2758	1918	58	R06837	34	24	58.62	26	11	70.27	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1372_W3110\iEC1372_W3110_map00030_map.json	outputs\bigg_prokaryote_bioemma\maps\map00030\iEC1372_W3110\summary.json
map00680	rn00680	Methane metabolism / C1 metabolism	iEC1372_W3110	Escherichia coli str. K-12 substr. W3110	built	2758	1918	104	R08323, R08328, R10397	31	73	29.81	36	50	41.86	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1372_W3110\iEC1372_W3110_map00680_map.json	outputs\bigg_prokaryote_bioemma\maps\map00680\iEC1372_W3110\summary.json
